stationid,county,recordtype,startdate,stationname,areatype,noisetype,address,status,enddate,endreason,sideroad,sideroadwidth,longitude,latitude
1113420EN005,南投縣,人工,920101,埔里環保公園站,第三類,一般地區環境音量,南投縣埔里鎮杷城里民有三街20號旁,使用中,,,,6,120.971746,23.957078
1113326TN002,南投縣,自動,920101,南崗站,第一類,道路交通噪音,,使用中,,,,30,120.669107,23.926954
1113326TN001,南投縣,自動,920101,南投站,第三類,道路交通噪音,,使用中,,,,12,120.68835,23.902312
1113320TN006,南投縣,人工,920101,南崗工業區南崗會堂站,第一類,道路交通噪音,南投市成功一路南崗工業區南崗會堂前,使用中,,,成功一路,15,120.668828,23.926621
1113320TN002,南投縣,人工,920101,中興新村站,第二類,道路交通噪音,南投市中興新村光明一路252號旁,使用中,,,,8,120.700479,23.9358
1113320EN003,南投縣,人工,920101,南投市軍功營區站,第二類,一般地區環境音量,南投市東山里軍功營區,使用中,,,,8,120.704942,23.919501
1012920TN001,彰化縣,人工,1030626,芳苑鄉交通測站,第三類,道路交通噪音,芳苑鄉斗苑路163號,使用中,,,斗苑路,15,120.321756,23.922983
1012620EN001,彰化縣,人工,1030624,二水鄉環境測站,第二類,一般地區環境音量,二水鄉文化村光文路119號,使用中,,,,7,120.616784,23.811125
1011920TN001,彰化縣,人工,1030524,花壇鄉交通測站,第二類,道路交通噪音,花壇鄉南口村中山路2段182號,使用中,,,中山路,50,120.538189,24.029581
1011820TN001,彰化縣,人工,1030524,秀水鄉交通測站,第二類,道路交通噪音,秀水鄉埔崙村彰水路2段341號,使用中,,,彰水路,25,120.493235,24.026534
1011220TN001,彰化縣,人工,1030526,溪湖鎮交通測站,第三類,道路交通噪音,溪湖鎮大溪路二段110號,使用中,,,大溪路,10,120.486508,23.967627
1011126TN002,彰化縣,人工,1040520,員林鎮固定交通測站,第二類,道路交通噪音,員林市中山路二段280號(面對僑信國小門口左方),使用中,,,中山路,15,120.3417191,23.5824348
1011120EN002,彰化縣,人工,1030526,員林鎮環境測站,第三類,一般地區環境音量,員林市興隆街上公園(近復興五街),使用中,,,,6.2,120.563791,23.967826
1011020EN001,彰化縣,人工,1030624,北斗鎮環境測站,第一類,一般地區環境音量,北斗鎮中山路1段260巷36弄15號,使用中,,,中山路,10,120.515749,23.869542
1010726TN002,彰化縣,人工,1030523,彰化市固定交通測站,第二類,道路交通噪音,彰化市南興里中山路一段213號,使用中,,,中山路,25,120.534402,24.05802
1010720TN001,彰化縣,人工,1030514,彰化市交通測站,第一類,道路交通噪音,彰化市中山路3段359號,使用中,,,中山路,25,120.56213,24.087407
1010720EN005,彰化縣,人工,1030514,環保局,第三類,一般地區環境音量,彰化市健興路1號,使用中,,,體育館,7,120.552592,24.067988
1010720EN001,彰化縣,人工,1030604,彰化市環境測站,第二類,一般地區環境音量,彰化市師大路2號,使用中,,,,30,120.558482,24.064716
0808520TN001,苗栗縣,人工,940330,泰安鄉梅園村,第一類,道路交通噪音,泰安鄉梅園村9號附近,使用中,,,苗-62,8,120.978978,24.392961
0808520EN001,苗栗縣,人工,940330,泰安鄉梅園村,第一類,一般地區環境音量,苗栗縣泰安鄉梅園村6鄰30號附近,使用中,,,,6,120.965942,24.38487
0808220TN001,苗栗縣,人工,930101,造橋鄉龍昇村,第二類,道路交通噪音,苗栗縣造橋鄉龍昇村學府路82號旁,使用中,,,學府路,12,120.843789,24.648202
0808120EN001,苗栗縣,人工,,西湖鄉五湖村,第二類,一般地區環境音量,西湖鄉五湖村上灣福德祠,使用中,,,苗119線,6,120.775012,24.518594
0808020EN001,苗栗縣,人工,,三義鄉三義工業區,第一類,一般地區環境音量,三義鄉三義工業區管理中心後方,使用中,,,尖豐公路,8,120.746613,24.376105
0807920EN002,苗栗縣,人工,,頭屋鄉北坑村,第三類,一般地區環境音量,頭屋鄉北坑村9鄰56號前方30公尺土地公廟,使用中,,,北坑56號前之產業道路,4,120.85425,24.582105
0807720TN001,苗栗縣,人工,930101,銅鑼鄉中興工業區,第一類,道路交通噪音,銅鑼鄉中平村中興路3號前方,使用中,,,中興路,12,120.800879,24.493924
0807720EN002,苗栗縣,人工,,銅鑼鄉銅鑼工業區,第一類,一般地區環境音量,銅鑼鄉銅鑼村光麗新城2號旁福德祠,使用中,,,新興路,6,120.792414,24.482618
0807620TN001,苗栗縣,人工,930101,公館鄉館南村,第三類,道路交通噪音,公館鄉館南村193號旁,使用中,930401,,智通街,10,120.821511,24.499992
0807620EN001,苗栗縣,人工,930101,公館鄉館南村,第三類,一般地區環境音量,公館鄉館南村仁愛路210巷20號旁,使用中,,,仁愛路,6,120.824214,24.502599
0807320EN001,苗栗縣,人工,,後龍鎮豐富里,第二類,一般地區環境音量,後龍鎮豐富里新東路42-1號前方30公尺處稻田邊,使用中,,,新東路42-1號前產業道,3,120.82673,24.600694
0807220TN001,苗栗縣,人工,930101,頭份鎮蘆竹里,第一類,道路交通噪音,頭份鎮中華路599號,使用中,,,中華路,20,120.897739,24.677915
0807120TN001,苗栗縣,人工,930101,竹南鎮新南里,第二類,道路交通噪音,竹南鎮新南里永貞路二段198號（公園大門）,使用中,,,公園一路,20,120.886431,24.69053
0806820TN001,苗栗縣,人工,930101,苗栗市玉華里,第三類,道路交通噪音,苗栗市玉華里玉清路337巷37號,使用中,,,玉清路,32,120.83158,24.562283
0706820TN001,新竹縣,人工,1101015,文山國小,第二類,道路交通噪音,新竹縣新埔鎮國校街160號,使用中,,,,18.2,254905,2746644
0706820EN001,新竹縣,人工,1101015,文山國小,第二類,一般地區環境音量,新竹縣新埔鎮國校街160號,使用中,,,,,254857,2746455
0706120TN002,新竹縣,人工,1101015,忠孝國中,第二類,道路交通噪音,新竹縣新豐鄉孝六街1號,使用中,,,,8.8,249936,2752390
0706120EN002,新竹縣,人工,1101015,忠孝國中,第二類,一般地區環境音量,新竹縣新豐鄉孝六街1號,使用中,,,,,249970,2752423
0706120EN001,新竹縣,人工,1030506,瑞興國小,第二類,一般地區環境音量,新竹縣新豐鄉瑞興村63號,使用中,,,,4,121.00992,24.911753
0705920TN004,新竹縣,人工,1030502,新湖國中,第二類,道路交通噪音,湖口鄉新湖路200號,使用中,,,新湖路,12.5,121.035658,24.902679
0705920TN002,新竹縣,人工,1030506,湖口工業區光復北路,第一類,道路交通噪音,湖口鄉光復北路,使用中,,,光復北路,12.5,121.014844,24.860915
0705920EN010,新竹縣,人工,1030502,湖口檢驗中心,第三類,一般地區環境音量,湖口鄉德盛村108-2號,使用中,,,,4.8,121.023288,24.904246
0705920EN009,新竹縣,人工,1030502,新湖國中,第二類,一般地區環境音量,湖口鄉新湖路200號,使用中,,,,12.5,121.036114,24.903278
0705920EN008,新竹縣,人工,1030506,湖口污水廠,第一類,一般地區環境音量,自強路,使用中,,,自強路,12.5,120.99932,24.866425
0705820TN005,新竹縣,人工,1030507,上館國小,第二類,道路交通噪音,竹東鎮中豐路二段399號,使用中,,,,15,121.088187,24.726285
0705820TN001,新竹縣,人工,1030507,竹東清潔隊,第三類,道路交通噪音,竹東鎮雞林里長安路101號,使用中,,,長安路,10.8,121.092108,24.735811
0705620TN001,新竹縣,人工,1030507,東安國小,第二類,道路交通噪音,關西鎮東安里中山東路40號,使用中,,,,10,121.183244,24.789364
0705620EN001,新竹縣,人工,1030430,東安國小,第二類,一般地區環境音量,關西鎮東安里中山東路40號,使用中,,,,10,121.184531,24.789954
